"CLOSEDDATE","DESCRIPTION","CLOSED","CASE_REASON","STATUS","SUBJECT","COMPANY_NR","LCM_COMPLAINT_NUMBER","LCM_CUSTOMER_NUMBER","CREATED_IN_LCM","OWNER_LCM"
"","Gem Einschreiben von herr Donzé wollen sie die 40% annulation kosten bezahlen.
Ein NKB gesandt wurde schon gesandt.",1,"Contract","Closed","NKB schon gesandt",19076134,"1001007",3476386912,"06.02.2015","Martina Neuhaus"
"17.02.2015","Gem Tel Monsieur Petraglia Donato wurde die Zahlung mehrere mahle abgewiesenund dann hat er eine Inkasso androhung und letzte Mahnung erhalten. Er ist sauer das man ihn nicht vorher kontaktiert hat bezüglich unserem System fehler (Referenznummer nicht korrekt)",1,"Bill","Closed","Mahnungen erhalten// Zahlung mehrere mahle wieder zurückgewiesen",19076279,"1001326",3265106571,"17.02.2015","Evelyn Frieden"
"","25.06.2015, julie Frei : Alphapay nous transmet mail de la cliente contestant les poursuites et aussi la facture. ous demande de revoir la situation
Mail de la cliente explique qu'à diverses date elle a parlé à une certaine Mme Raini et Monsieur Brunier.
Selon informations reçues des années précdentes le contrat seraient échues et aucun renouvellement souhaité.
Lors d'un entretien téléphonique la cliente devait être recontacté mais pas de nouvelle
malgré des courriers pas de retour non plus
Dès lors cliente surprise dee recevoir Alphapay et de n'avoir reçu aucune explication
",1,"Bill","Closed","Cliente conteste facture + Alphapay",19076300,"1004808",4204684206,"25.06.2015","Julie Frei"
"13.02.2015","13/02/2015 - MonaT. / ESK 1
Frau Schlegel hat mir das Mail zugestellt und ist sehr verärgert!
 
Im Anhang habe ich euch noch die Kundenkarte.
 
Ich bitte Euch, diesen Fall so schnell wie möglich zu bearbeiten, da wir im Sommer 2014 schon Probleme hatten mit dieser Kundin. (Vertrag blieb damals hängen)...
 
BITTE UM EUER FEEDBACK!!
 
Lieber Gruss
 
Elisabeth Gerber",1,"Bill","Closed","Verpasste Erstreckung der Fälligkeit",19076453,"1001281",3518491732,"13.02.2015","Mona Trindler"
"03.06.2015","18.05.2015 / Annahme ESK1 / Reto Z.
Einschreiben erhalten da Inserate falsch sind.",1,"Product","Closed","Inserate sind falsch",19076945,"1003618",3996118583,"18.05.2015","Reto Zimmermann"
"26.03.2015","gem Tel mit Herr Roos, die Geschäftseinträge der Nummer 0792755336 wurden über die Nummer 0414952021 verrechnet.",1,"Bill","Closed","Produkt",19077163,"1002341",3704108086,"26.03.2015","Admirela Sulkovic"
"11.05.2015","Gemäss Herr Ross, wurde beim Eintrag einfach die Änderung vorgenommen auf die Nr. 041 495 01 56 statt 041 4995 20 21, er hat sich auf das gemeldet und gesagt das er diese Änderung nicht gewünscht hat und 
diese NR nicht für die Roos Reinigung GmbH angewendet wird.

Er hat eine Swisscom Rechnung bekommen von CHF 192.04, damit ist er nicht einverstanden da die Nummer ohne sein wissen geändert wurde.",1,"Bill","Closed","Rechnung",19077163,"1003283",3704108086,"06.05.2015","Admirela Sulkovic"
"06.05.2015","Gem Tel mit Herr Ross hat er die Rufnummer bei den Einträgen mutieren lassen, er hat die Swisscom Rechnung von CHF 360 bereits bezahlt.
Die Rufnummer wurde falsch aufgenommen und ihm wurden nochmals mutationsgebühren berechnet über die Swisscom Rechnung von CHF 270.-.
",1,"Bill","Closed","Rechnung EP",19077163,"1003286",3704108086,"06.05.2015","Dalija von Gunten"
"06.03.2015","06.03.2015/Annahme ESK 1:
Gemäss Rückmeldung Kube U. Onaranlar sind die Inserate in Fribourg unter Kücheneinrichtungen und Murten unter Kücheneinrichtungen 
doppelt.

",1,"Contract","Closed","Doppelte Inserate wegen Migration ",19077175,"1001833",19873626,"06.03.2015","Gabriela Manser"
"16.06.2015","Gem Schreiben von frau Gualtieri, habe mit der Kundin Kontakt aufgenommen, die EI seien nicht alle gleich korrekt im Telefonbuch. 
die Adressänderung für die EI wurde nach Bookclose vorgenommen.
",1,"Publication","Closed","Rechnungskorrektur an Swisscom",19077390,"1004481",3265107213,"16.06.2015","Simona Sammali"
"30.01.2015","9.01.2015, julie pouria :ANNAHME 
Mail CC Suite appel de client pas d'accord de avoir 2 contrat pour le même produit.
Contrat3491062 Avec Link
contrat 3465789 avec Link, merci de supprimer ce contrat et la facture
",1,"Product","Closed","Produit link en double",19077568,"1000286",3265107436,"12.01.2015","Julie Frei"
"","30/03/2015 - Übernahme von Reto Zimmermann

KD wendet sich an die GL:
Sehr geehrter Frau Nasti

Vorerst danke ich Ihnen ganz herzlich für das Telefongespräch von heute Morgen und besonders dafür, dass Sie sich meiner Angelegenheit annehmen und wir darüber kommunizieren können.

Gemäss unserer Vereinbarung sende ich Ihnen den Abschluss unserer Yogaschule vom Jahr 2013, woraus Sie sehen, dass wir wirklich jedes Jahr enorme Verluste zu beklagen hatten, 
Dann kann ich Ihnen kein amtliches Dokument zukommen lassen, das belegt, dass wir die Yogaschule St. Gallen Ende Januar 2015 aufgegeben haben. Es sind dies verschiedene Briefe, die wir versandt haben, z.B. an:
Swisscom

Yoga-Schule
Bleichestr. 11
9000 St. Gallen

9. März 2015
Kundendienst 0800 800 800
Kündigung -Anschluss 071 222 40 49

Sehr geehrte Damen, sehr geehrte Herren

Sie kündigen Ihren EconomyLINE-Anschluss mit der Rufnummer 071 222 40 49.
Wir haben diesen am 09.03.2015 ausgeschaltet.

Zurich Versicherungen

-------- Weitergeleitete Nachricht -------- 
Betreff: 	Policen an neue Struktur anpassen
Datum: 	Tue, 10 Mar 2015 15:43:16 +0100
Von: 	Yogaschulen <rolfheim@yogaschulen.ch>
An: 	rorschach@zurich.ch
Kopie (CC): 	Susy Heim <susyheim@yogaschulen.ch>

Sehr geehrte Damen und Herren

Wie ich Ihnen telefonisch mitgeteilt habe, hat es in meiner Yogaschule verschiedene Änderungen gegeben:
•	Am 23. Januar 2015 haben wir die Yogaschule St. Gallen beendet
•	Ab 1.1.2015 wird die Yogaschule in Zürich nur noch von meiner Frau geführt. Sie ist nicht mehr Teil der Yoga-Schule Rolf Heim GmbH
•	Ab 1.1.2015 werden von der GmbH keine Gehälter mehr ausbezahlt
Nachricht vom 2.2.2015 an local
Geschäftsaufgabe Yoga-Schule Rolf Heim, Bleichestrasse 11, 9000 St. Gallen

Sehr geehrte Damen und Herren

Leider muss ich Ihnen mitteilen, dass ich den Betrieb der Yoga-Schule Rolf Heim, Bleichestrasse 11, 9000 St. Gallen aus wirtschaftlichen Gründen schliessen musste. 
Schon seit Jahren verzeichne ich Verluste zwischen 20'000 bis 30'000 Franken prop Jahr. Aus diesem Grund haben wir immer wieder mit Ihren Aussendienst-Mitarbeitern, zuletzt mit Herrn Kofel und allen anderen Vorgängerinnen und Vorgängern, 
mündlich vereinbart, dass die Vertragsdauer von 3 Jahren im Falle einer Geschäftsaufgabe nicht mehr gültig wäre. Zum Teil haben wir dies sogar manchmal in die Verträge hinein geschrieben; z.B. bei Herrn Naser im Jahre 2011. 

Ich bitte Sie deshalb höflich, alle Einträge für diese Yoga-Schule einzustellen, insbesondere die Rechnungs-NR 172643 vom 7.11.2014 und 203026 vom 14.12.2014 und noch alle weiteren Folgerechnungen zu annulieren. 
Damit Sie sehen, dass ich mit den grossen Verlusten nicht übertreibe, lasse ich Ihnen im Anhang den Abschluss von 2013 zukommen. 

Nachricht vom 27.11.2014 an local

Kunden-Nr. 1346075

Sehr geehrte Damen und Herren

Ich muss Ihnen leider mitteilen, dass ich den Betrieb der Yoga-Schule Rolf Heim, Bleichestrasse 11, 9000 St. Gallen im Januar 2015 einstelle.Ich bitte Sie höflich, alle Einträg",1,"Contract","Closed","Geschäftsaufgabe mit GL-Hintergrund",19077737,"1002367",3265107539,"30.03.2015","Manuela Rittmeyer"
"","Herr Zimmermann ist gesundheitlich sehr angeschlagen. Aus diesem Grund habe ich die mutierten Einträge gelöscht. Er wünscht nur noch den Gratis Eintrag, da er nicht weis wie es mit seinem Geschäft weiter geht.

Bitte aus Kulanz 79.60 CHF Publikationen sowie 60 CHF korrigieren.",1,"Bill","Closed","RG Korrektur",19077753,"1003116",3265107546,"30.04.2015","Stefania Staropoli"
"19.06.2015","Gem Tel Frau Berchten ist sie genervt weil sie lange warte musste an der Hotline.Sie hat sich auch über die Hotline Musik beschwerd und findet es macht sie noch agressiver.
Des Weiteren hat sie ein Schreiben von der BUHA erhalten und dachte es sei eine fälschung, da nicht mal unser LOGO Local.ch ersichtlich ist.
Sie findet es sehr traurig das unsere Firma als Tochtergesellschaft von Swisscom so auftritt.",1,"Service","Closed","Bankdaten Formular bekommen ohne Logo",19077754,"1004621",4179098543,"19.06.2015","Evelyn Frieden"
"11.06.2015","09.06.15/Annahme ESK 1:
Gemäss Rückmeldung Kube L. Markovic hat er bei der Vertragsaufnahme von VT-Nr. 3595803 den VT-Nr. 3515902.002 ersetzt. 
Vertragseingang war der 11.03.15 und Buchschluss war der 03.04.15.  Trotzdem wurde erst ab 2. Ausgabe ersetzt. Wieso? Link wurde auch ersetzt, 
diese RG gesperrt, damit bei PWP-Vertrag entsprechend gutgeschrieben wird. ",1,"Contract","Closed","Vertrag nicht ersetzt / VT-Nr. 3515902.002 ",19077798,"1004225",3265107458,"09.06.2015","Gabriela Manser"
"27.03.2015","25.03.2015, julie pouria : Mail RL T Ryser : le Top Listing n'a pas été mis en ligne à son activation environ 4 mois

ESK 0 : client jamais manifesté de lui même",1,"Publication","Closed","Top Listing pas en ligne pendant 4 mois",19077912,"1002299",3500206162,"25.03.2015","Julie Frei"
"","test",1,"Contract","Closed","Vertrag",19077967,"1000457",3265107659,"20.01.2015","Martina Neuhaus"
"","29.04.2015 / Annahme ESK1 / Reto Z.
Die Kundin schreibt auf Grund des Emailversandes des Gut zum Druck ein Email an gzdde@local und beschwert sich über die Art des Verkaufes.
Sie sagt, sie hätte dem KUBE mitgeteilt dass sie keine Werbung mehr machen will.

",1,"Contract","Closed","Kundin hat Durcheinander mit den Verträgen und Einträgen",19078036,"1003091",3670717825,"29.04.2015","Reto Zimmermann"
"","Monsieur Mecheloud nous appelle. 

Il dit que la facture 200721 est fausse parce que le produit est dejà inclus dans le contrat 3488509. l'analyse prend beaucoup de temps puisque ce client a beaucoup de produits
merci de faire la vérification et d'informer le client par mail au  david@micheloud.net


GV 1315637 (aucun recommandé mis en annexe)
selon recommandé du Monsieur Micheloud du 17.02.15. Il a réçu 2 facture (200721 + 201054). Il dit, qu'il pense, que 2 Position, il paye à double. 
Je pense, qui'il a raison. On doit résilier en contract 200721 les positions 3 et 4. Il semble, que les 2 position sont les même produit comme en contrat 3488509 les position 1 et 2. Pour ce contrat, il y a aussi récu une facture ( 201054).
 Merci, pour le clarifier.  
",1,"Bill","Closed","client dit que il y a des produits a double",19078187,"1001541",3265107784,"24.02.2015","Julie Frei"
"27.03.2015","selon recommandé du Monsieur Micheloud du 17.02.15. Il a réçu 2 facture (200721 + 201054). Il dit, qu'il pense, que 2 Position, il paye à double. Je pense, qui'il a raison. On doit résilier en contract 200721 les positions 3 et 4. Il semble, que les 2 position sont les même produit comme en contrat 3488509 les position 1 et 2. Pour ce contrat, il y a aussi récu une facture ( 201054). Merci, pour le clarifier.  ",1,"Contract","Closed","Réclamation en doublon avec GV 1314121",19078187,"1001591",3265107784,"25.02.2015","Julie Frei"
"","03.07.2015 / Annahme ESK1 / Reto Z.

Falleröffnung Customer Care: 08.06.2015:
gem tel.mit Herr Peterhans hat er mir mitgeteilt das die Verträge nicht so wie Abgesprochen bestätigt wurden, Herr Peterhans habe mit KUBE Roger Probst abgemacht das der Vertrag 3586107 nicht nehr verlängert beziungsweise gewünscht ist.
Ausserdem wollte er den Vertrag 3586108 nur für ein Jahr abschliessen und nicht für 3 jahre.
er akzeptiert die Verträge nicht und beklagt sich über die Nicht eingehaltenen abmachungen des KUBE.

Herr Peterhans ist unter der Nummer 062 893 46 85 erreichbar.",1,"Contract","Closed","Falsche Verträge",19078237,"1004230",3265107694,"08.06.2015","Reto Zimmermann"
"","Firma elektro express CIRO meldet über den Rechtsweg betreffend den Einträgen der Konkurrenz.",1,"Publication","Closed","Publikation",19078489,"1003302",3833257575,"06.05.2015","Adrian Utz"
"31.07.2015","10.07.15/Annahme ESK 1:
Gemäss Telefon mIt Frau Mader vom 09.06.15 wünscht sie keinen Besuch oder Telefon mehr von AD. 
Sie will einfach wieder ein Vertrag analog Vertrag-Nr. 3519053, jedoch ohne telefonisch kontaktiert oder besucht zu werden.
Bitte klären bzw. einen Vertrag zusenden. Danke. 

",1,"Contract","Closed","KD wünscht neuen Vertrag analog VT-Nr. 3519053 ",19078599,"1004222",3265108011,"09.06.2015","Gabriela Manser"
"","Kunde ruft an und will vom Vertrag aus Gesundheitlichen Gründen zurückziehen und hat dies auch schon am KUBE mitgeteilt.",1,"Product","Closed","Vertrag Annullieren",19078656,"1003063",3265107927,"28.04.2015","Bruno De Sousa"
"","29.05.2015 :

Le client rencontre des problèmes de santé et financier et ne peut par conséquent pas honorer son contrat local Mobile First N° 3538206.

Bastien V.",1,"Contract","Closed","Contrat 3538206 / Problème financier et de santé",19078656,"1003980",3265107927,"29.05.2015","Bastien Venturi"
"06.03.2015","Le 15 janvier reçu appel de Nathalie Dussex qui me demandait ce que nous pouvions faire pour ce client, je lui ai dit de me transmettre la réclamation.
Le 28 janvier elle me rappeler pour me demande à qoui en est le dossier car ne trouve rien dans le système. 
Je l'informe qu'à ce jour je n'ai pas encore reçu sa demande, me dit que c'est pas possible, va voir avec Samantha, Samantha me rappelle pour me dire
qu'elle a fait le nécessaire le 15.01.2015 en envoyant cette demande au CustomerCare voir mail dans document.

Demande du Sales
Ce client est un bon client chez nous. Il a eu un accident cet été et il a dû se faire hospitaliser. Juste avant son accident il avait fait des modifications. Il a reçu la facture pendant qu’il était à l’hôpital. Voir la lettre qu’il y a dans le dossier du client.
Peux t on lui offrir les publications pour cette année ???
Il a aussi des produits pour 5240.- et il n’a jamais eu de problème de paiement chez nous

Pris contact avec M. Holzer pour l'informer que je suis en charge de son dossier.

Stufe 0

",1,"Bill","Closed","Lettre de rappel ",19078716,"1000770",3265107963,"29.01.2015","Chantal Bourdon"
"17.06.2015","16.02.2015, julie pouria : Mail du service externe => annonce dans annuaire 15/14 du 601 est parue fause. Demande de recherche d'erreur",1,"Product","Closed","Annonce pas correcte",19078767,"1001289",3265108114,"16.02.2015","Julie Frei"
"05.03.2015","03/05/2015 - MonaT. - ESK 0
Hallo zusammen
Könnt ihr bitte überprüfen ob beweise ok sind? Danke und Gruss Christian
-----------
Wir kündigen hiermit noch einmal den Vertrag mit Local.ch.
Hier den Beweis das wir, Herr R. Altmann und W. Manz, die Firma Promeca AG gekauft haben.

Promeca und Partner AG / Willi Manz

",1,"Contract","Closed","Kündigung abgelehnt - HR und Moneyhouse nicht aussagekräftig genug / AKTIVE und PASSIVE nicht deklariert",19078889,"1001823",3415637158,"05.03.2015","Mona Trindler"
"18.06.2015","Gem Tel mit herr Müller, hat Publigebühren auf der Swisscom Rechnung erhalten für EI von Vorinhaber ",1,"Bill","Closed","Einträge gelöscht vom Vorbesitzer",19079093,"1004564",4173385918,"18.06.2015","Simona Sammali"
"18.05.2015","18.05.15/Annahme ESK 0:
Frau Diehl hat vor ca. 2-3 Wochen angerufen, um eine Erklärung zu erhalten wegen der eine Hälfte wo bei Alphapay ist. ich habe es mit der Buha angeschaut und bekam eine Antwort, die Kundin noch mehr auf 1000 brach.
habe Kundin telefonisch kotaktiert. Frau Diehl ist nicht einverstanden mit der Situation. sie behauptet, sie habe sich mehrmals gemeldet und habe die ganze Situation mehrmals erläutert. sie wollte immer eine neue 
korrigierte Rechnung, die sie nie bekam.  Die eine Hälfte wurde von dem Kube Gutgeschrieben. Kundin hätte nur die Hälfte zahlen müssen, da lange die Produkten nicht korrekt aufgeschalten waren und nicht einwandfrei das Ganze ablief.
Kundin ist nicht einverstanden die Gebühren somit zu begleichen. möchte gerne das es nochmals bearbeitet wird und nämlich von eine andere Abteilung.

 ",1,"Contract","Closed","Teil der Rechnung ist bei Alphapay / KD-Nr 1367897",19079095,"1002206",3265108175,"20.03.2015","Gabriela Manser"
"12.06.2015","12.06.2015, julie Frei : client envoi mail pour dire qu'il est insatisfait de tous les mails reçUs pour les bons à mettre en ligne. Cela encombre sa messagerie. il paye assez cher pas besoin d'être embeter.
Il menace de résilier si on ne le laisse pas tranquille
esk 1",1,"Service","Closed","Client mécontent des mails reçus",19079175,"1004377",3909780098,"12.06.2015","Julie Frei"
"","08.05.15/Annahme ESK 2:
Kunde interveniert erneut mit Mail vom 26.01.2015 auf unsere Gültigkeitbestätigung vom 31.12.2014. Grund: Der Vertragsabschluss sein anders kommuniziert gewesen.
 ",1,"Contract","Closed","Erneute Intervention von KD / KD-Nr. 1368477 ",19079220,"1003379",3265108354,"08.05.2015","Gabriela Manser"
"14.07.2015","03.07.2015 / Annahme ESK1 / Reto Z.

Falleröffnung Customer Care 08.06.2015:
Gemäss Kundin sei abgesprochen worden dass der neue Vertrag (3584143) dann beginnt wenn der vorherige TopListing-Vertrag ausläuft (November 2015). Ich bitte Euch das Startdatum anzupassen und die Kundin schriftlich zu informieren.",1,"Contract","Closed","Startdatum des Vertrags",19079480,"1004166",3891143905,"08.06.2015","Reto Zimmermann"
"27.04.2015","Gemäss Tel Kundin hat RG erhalten mit falscher Adresse. VT wurde mit neuer Adresse erfasst aber nicht übernommen",1,"Contract","Closed","VT falsch erfasst",19079509,"1002966",3903305835,"27.04.2015","Giovanna Rakoczi"
"25.02.2015","Eskalationsstufe 0
Konnte Kunde tel. nie erreichen
Kunde reklamiert dass jedes mal wenn er eine Änderung verlangt muss er 2 Wochen warten. Ist sehr unzufrieden mit unsere Dienstleistungen",1,"Publication","Closed","Einträge anpassen",19079805,"1000850",3451597817,"02.02.2015","Claudine Lovis"
"","hallo zusammen

gem schreiben von herr titus gmür, kann er uns das beweismaterial noch nicht zusenden, da der kunde das aktienpaket verkauft hat, aber es kann noch Monate dauern.
ich hatte dem Kunde geantwortet, dass wir Beweismaterial benötigen, um den vertrag zu künden. der kunde meldet sich somit wieder. siehe kundeschreiben im dokument....

merci und Gruss
Simona  ",1,"Contract","Closed","Kunde kann Beweismaterial noch nicht senden. Kunde schreibt: aktienpaket wird verkauft, aber bis dahin können noch Monate vergehen.",19079814,"1000511",3265108694,"21.01.2015","Simona Sammali"
"","gem crm mail und tel mit fr metzger wegen sie will  Beschreibung & Besonderheiten auf local.ch anpassen... und auch- dass HR EI auf local.ch gelöscht oder angepasst wird- wenns erledigt ist bitte feedback an fr metzger machen

danke",1,"Publication","Closed","text bei Beschreibung & Besonderheiten anpassen",19079967,"1003650",4004115299,"19.05.2015","Christian Romano"
"","siehe GeVo: 1431235
Gemäss Telefon mit Frau Imhof hatten sie 2 Standorte: 1 in ZH und 1 in Rapperswil Jona. Als im Herbst 2014 der KUBE vorbeikam, hat sie dem KUBE mitgeteilt, dass ihnen in ZH eine Kündigung der Lokalitäten 
bevorsteht. KUBE meinte, dass sei kein Problem und so hat sie beide Verträge verlängert. Als sie im April 2015 die Kündigung erhielt, hat sie die Telefonnummer gekündigt und uns anscheinden davon in Kenntnis 
gesetzt. (mit Beweismaterlial). Darauf haben wir ihnen eine Nicht kündbar Brief gesandt, der sich auf Standort Rapperswil bezieht. Sie will jetzt jedoch eine Lösung für den Standort ZH und kann nicht verstehen, 
warum wir das nicht kapieren. Im LCM ist jedoch mit der Kundennummer 1544833 nichts zu finden.

Bitte Lösung für den Standort ZH finden

13.07.2015 Frau Imhof meldet sich heute erneut per eMail. (abgelegt unter Dokumente)
Sie möchte nun eine Lösung
",1,"Service","Closed","KDG Vertrag wegen Geschäftsaufgabe Standort ZH",19080073,"1004807",4207348356,"26.06.2015","Yanik Müller"
"06.02.2015","23.01.2015 RAM/Email interne et courrier du client pour annuler son contrat 3185689 en caractères gras et son inscription, entre autre la signature de sa femme n'a aucune valeur pour son entreprise. Je demande au SE de clarifier la situation, factures bloquées, attente de feedback.

06.02.2015 RAM/Le dossier reste en suspend jusqu'au mois de Mars 2015. A ce moment le client seranouveau visité, car il y aura un nouveau repreneur. Accord avec le client par téléphone et débloque les factures.",1,"Service","Closed","Annulation du contrat ",19080231,"1000997",3476381727,"06.02.2015","Monia Rajhi"
"","15/04/2015 - MonaT.  -  ESK 0
E-Mail von KUBE Baia:

Am 30.1.2014 wurde Vertrag 3.459.107 gemacht
Firma biplano küchen gmbh in Küsnacht.
Erledigt durch Pablo Mateu.

Leider durfte Frau Baudat nicht unterschreiben, sie hatte keine Berechtigung (gemäss Info Inhaber gestern)
Diesbezüglich habe ich einen neuen Vertrag gemacht, der in diesen Tagen aktiv wird: 3.579.555 mit Toplisting und auch wieder LINK.

Die erste RG vom alten Vertrag 3.459.107 wurde letztes Jahr bezahlt.
Darf ich euch somit bitten, die RG 230511 (Folge 2/3) sofort zu ersetzen mit dem neuen Vertrag?
Die RB nehme ich auf mich aber ich frage noch Pablo zuerst.

Vielen Dank und lg
Salvi
",1,"Contract","Closed","VT nicht rechtskonform unterzeichnet - wurde ersetzt ",19080383,"1002710",3700090951,"16.04.2015","Mona Trindler"
"26.05.2015","26.05.2015
Falscher Prozess",1,"Contract","Closed","Geschäftsaufgabe",19080438,"1003806",4043011170,"26.05.2015","Manuela Rittmeyer"
"22.05.2015","22/05/ 2015 - MonaT.  /  ESK 1

Der KD konnte für viele Monate (seit Januar 15) im KD-Center keine Änderungen, was für einen Hotelleriebetrieb wichtig ist, vornehmen.",1,"Service","Closed","Vertragsverlängerung aufgrund der nicht zur Verfügung stehnende Ressourcen",19080486,"1003784",3265108939,"22.05.2015","Mona Trindler"
"","3.03.2015 julie pouria 
Mail ADM car la cliente se plaint des annonces parues dans le 601 étant donné que cela est parue avec mauvais numéro de téléphone
Demande de faire recherche d'erreur et cas client par la suite",1,"Publication","Closed","Annonce parue avec mauvais numéro de téléphone",19080718,"1001747",3265109065,"03.03.2015","Julie Frei"
"11.06.2015","11.06.2015
Mail von RL Martin Heim:
Der 607 Vertrag hätte nur für ein Jahr Laufzeit gebucht werden sollen. Ich bitte um Storno mit Rückbelastung Friedrich Daniel, für die kommende Ausgabe 15/16. Redaktionsschluss war am 6.05.15!
",1,"Contract","Closed","Vertrag mit falscher Laufzeit",19080794,"1004322",3265109231,"11.06.2015","Manuela Rittmeyer"
"16.02.2015","Annahme 27.01.15 ESK 1:
Gem Tel. vom 27.01.15 mit Frau Lüönd Barbara reklamiert Sie betreffend den offenen Rechnungen.
Sie hat mit Markovic Ljubisa einen neuen Vertrag abgeschlossen und ihr wurde versprochen, dass ein Vertrag storniert wird. - siehe KD-Fall vom 5.11.2014. 
Habe alle drei offenen Rechnung - A gesperrt und Frau Lüönd Barbara wünscht einen Rückruf um zu wissen welche Rechnung korrekt ist und nicht. Sie ist unter 0418555588 erreichbar.

",1,"Contract","Closed","Vertrag mit neuem Vertrag nicht ersetzt",19080803,"1000632",3265109237,"27.01.2015","Gabriela Manser"
"05.06.2015","06.05.15/Annahme ESK 1:
Gemäss Telefon von Herr Grollimund vom 27.04.2015 sagt er, habe nie ein GdD erhalten, Er wollte, das sein Logo in
Liestal gedruckt wird und nicht in Bubendorf. Kube Almedin Hasanic sagt er, habe die Adressänderung weitergeleitet
Der Kunde habe aber kein GzD bekommen und so konnte er auch seine Änderung nicht durch geben.

Vertrag-Nr. 3399699 wurde in Bubendorf mit Vertragsadresse Bubendorf aufgenommen und GzD am 05.12.14 verschickt.
Eine Adresssänderung hat CPM nicht erhalten wurde jedoch nun auf Ergolzstrasse 29, 4410 Liestal angepasst. 
Bitte klären und evtl. ersetzen, danke. RG gesperrt.",1,"Contract","Closed","Unzufrieden mit Verzeichnisort / VT-Nr. 3399699",19081244,"1003031",3903314416,"27.04.2015","Gabriela Manser"
"18.05.2015","18/05/2015 - MonaT.  /  ESK 1

E-Mail des KD:
Oben erwähnte Rechnung habe ich zur Zahlung erhalten. Der Eintrag entpricht nicht der Vorlage des Gut zum Druck welche ich in Auftrag gegeben habe.
Ich bitte Sie den Eintrag im local.ch anzupassen, bis dahin werde ich die Rechnung pendent halten.
 
",1,"Publication","Closed","Publikation falsch",19081507,"1003602",3464313429,"18.05.2015","Mona Trindler"
"","J'ai parler avec Monsieur Pepin concernant son contrat 3527610 qu'il dit qu est faut parce que son Logo vaec Laboratoire on le trouve sur la lettre P comme Pepin e pas sous la lettre L comme laboratoire. Et ca que je ne compend pas est que Monsieur Pepin a parler deja avec Mme Tasca Sophie de chez nous le 19.02.15 mais je ne voix riens,
il est pas fachez mais il veut une solutions e j'espere que vous trouvez une belle solutions pour lui :-)",1,"Contract","Closed","Contrat",19081531,"1002260",3376960819,"23.03.2015","Julie Frei"
"17.02.2015","17.02.15/Annahme ESK 1:
Gemäss Rückmeldung Marianne Castronuovo hat sie beim Vetragsabschluss-Nr. 3543078 den falschen bereits erfüllten Vertrag ersetzt.
",1,"Publication","Closed","Von Kube falscher Vertrag ersetzt",19081535,"1001324",3265109521,"17.02.2015","Gabriela Manser"
"04.03.2015","04.03.15/Annahme ESK 1:
Gemäss Telefonanruf der KD vom 23.02.2015 anlässlich des letzten KD-Falles scheint gemäss ihr etwas doppelt zu laufen. /mag ",1,"Publication","Closed","Doppelte Laufzeiten Link und Info",19081535,"1001768",3265109521,"04.03.2015","Gabriela Manser"
"","20.03.2015 / Annahme ESK0 / Reto Z.

Falleröffnung Customer Care:
Yousefi Morad
Orientteppich-Atelier
Hardstrasse 135
4052 Basel
Kdnr.1377922

Gemäss Telefonat mit Herr Yousefi Morad Wollte er den Vertrag : 3412447 erneuern mit mehreren Inseraten in mehreren Ortschaften.
Jetzt bekommt er ein Gut zum Druck wo die Inserate kleiner sind als im alten Vertrag.
Er sagt ADM Gemelli Nico, hat Ihm erklärt er bekomme Rabatt wenn er mehr Inserate macht, er war einverstanden damit, aber nicht mit dem das die Inserate nun kleiner sind.

Er will die gleichen Inserate wie vorher.

061 331 43 75
076 206 35 51 
061 311 90 88",1,"Product","Closed","Mit Inserategrösse nicht einverstanden",19081588,"1002202",3704124568,"19.03.2015","Reto Zimmermann"
"09.06.2015","27/03/2015 - MonaT.  /  ESK 3
KD meldet sich und teilt uns mit, dass sie mit dem  Vorgehen unseres Mitarbeiters absolut nicht einverstanden ist.

KUBE war da, da diese KD das Geschäft neu übernommen hatte.
Bei der Besprechung wurde ganz klar kommuniziert, dass keine neuen VTs erwünscht sind, zumal diese KD gerade eben erst begonnen hat mit ihrem Geschäft.

KUBE signalisierte, dass dies alles gar kein Problem sei und sie lediglich für die bestehenden VTs unterzeichnen müsse, damit die notwendigen Anpassungen vorgenommen werden können.
Dieses Gespärch fand, gemäss dem Schreiben der KD, in Anwesenheit der Eltern der KD statt. Die KD hat selbstverständlich ohne Argwohn unterzeichnet - machte die Aussage der Beraterin absolut Sinn.

Sie war dann sehr erstaunt, als sie die Vertragsbestätigung erhalten habe. Sei findet es des Weiteren sehr merkwürdig, dass die Inserate Ihrer Vorgängerin paralell mit ihrem laufen und die Publi nicht mit Ihrem korrekten Geschäftsnamen übereinstimmt.",1,"Service","Closed","Unzufrieden mit KUBE",19081637,"1002355",3265109703,"27.03.2015","Reto Zimmermann"
"17.04.2015","Gem Tel mit Herr Schaffhauser, sagt die EI wurden gelöscht da die Schwester gestroben ist jedoch hat er eine RG erhalten.",1,"Product","Closed","Produkt",19081711,"1002782",3265109626,"17.04.2015","Admirela Sulkovic"
"08.07.2015","30.06.2015 / Annahme ESK1 / Reto Z.
Der Kunde will die Rechnung Nr. 287011 nicht bezahlen da er immer noch auf die verlangte Kontaktaufnahme wartet",1,"Service","Closed","Unzufrieden mit der Dienstleistung",19081729,"1004879",4017861719,"30.06.2015","Reto Zimmermann"
